close,epoch,high,low,open,volume
449.81,1783674000,450.3,447.76,448.69,1.0
448.96,1783674300,451.11,448.6,449.83,1.0
448.69,1783674600,449.31,447.86,448.84,1.0
448.62,1783674900,448.62,447.34,448.51,1.0
448.87,1783675200,449.68,448.31,448.43,1.0
448.78,1783675500,448.9,447.39,448.71,1.0
449.34,1783675800,449.74,448.49,448.82,1.0
450.89,1783676100,450.9,448.15,449.41,1.0
452.29,1783676400,453.33,450.94,451.05,1.0
454.09,1783676700,454.34,451.73,452.31,1.0
453.9,1783677000,454.26,452.46,453.93,1.0
455.73,1783677300,456.15,453.61,453.91,1.0
455.46,1783677600,456.17,454.69,455.88,1.0
453.92,1783677900,456.2,453.41,455.43,1.0
457.52,1783678200,457.52,453.7,453.85,1.0
460.04,1783678500,460.4,457.52,457.54,1.0
458.94,1783678800,460.34,458.64,460.03,1.0
460.87,1783679100,461.05,458.83,458.96,1.0
461.58,1783679400,462.17,460.89,460.97,1.0
461.37,1783679700,461.93,460.57,461.57,1.0
458.72,1783680000,462.22,458.72,461.27,1.0
456.97,1783680300,458.96,456.93,458.78,1.0
456.98,1783680600,458.11,456.06,456.96,1.0
456.54,1783680900,457.79,456.0,456.95,1.0
456.57,1783681200,457.19,455.63,456.42,1.0
458.94,1783681500,459.4,456.26,456.34,1.0
459.43,1783681800,459.52,458.31,458.95,1.0
458.63,1783682100,459.45,457.59,459.4,1.0
458.1,1783682400,459.71,458.09,458.71,1.0
457.73,1783682700,459.19,457.71,458.23,1.0
456.47,1783683000,458.1,456.18,457.94,1.0
457.48,1783683300,457.96,455.53,456.27,1.0
457.74,1783683600,458.6,457.33,457.51,1.0
457.44,1783683900,458.68,457.22,457.76,1.0
456.11,1783684200,457.65,455.4,457.46,1.0
456.59,1783684500,456.74,454.57,456.0,1.0
456.6,1783684800,456.69,455.35,456.6,1.0
458.48,1783685100,459.45,456.66,456.66,1.0
461.62,1783685400,462.37,458.24,458.49,1.0
