close,epoch,high,low,open,volume
322.32,1783080900,324.67,322.3,322.3,1.0
320.01,1783081800,322.71,319.94,322.27,1.0
320.11,1783082700,320.52,318.35,319.99,1.0
320.2,1783083600,320.96,319.44,320.08,1.0
319.59,1783084500,320.63,318.7,320.15,1.0
320.56,1783085400,321.1,318.71,319.56,1.0
319.12,1783086300,321.34,319.12,320.68,1.0
318.16,1783087200,319.12,316.49,319.04,1.0
314.63,1783088100,318.46,314.41,318.21,1.0
314.28,1783089000,315.31,313.0,314.69,1.0
314.8,1783089900,315.45,313.01,314.29,1.0
316.27,1783090800,317.06,314.59,314.82,1.0
314.89,1783091700,316.79,313.59,316.32,1.0
313.23,1783092600,315.55,312.75,315.06,1.0
311.44,1783093500,313.21,311.37,313.14,1.0
309.55,1783094400,312.08,309.02,311.5,1.0
312.82,1783095300,312.82,309.37,309.61,1.0
314.96,1783096200,314.98,312.16,312.75,1.0
314.99,1783097100,316.4,314.32,314.9,1.0
315.88,1783098000,316.47,314.16,314.99,1.0
313.94,1783098900,315.86,313.4,315.75,1.0
313.14,1783099800,314.24,312.37,314.0,1.0
311.88,1783100700,313.52,311.64,313.06,1.0
309.31,1783101600,311.99,308.83,311.91,1.0
309.19,1783102500,310.52,308.82,309.34,1.0
311.42,1783103400,311.79,308.3,309.11,1.0
309.87,1783104300,311.62,309.52,311.3,1.0
312.58,1783105200,313.2,309.55,309.9,1.0
314.54,1783106100,315.15,312.44,312.68,1.0
314.12,1783107000,316.1,313.83,314.5,1.0
314.56,1783107900,316.21,313.84,314.17,1.0
313.03,1783108800,314.65,312.54,314.59,1.0
311.5,1783109700,313.13,311.17,313.02,1.0
312.63,1783110600,313.02,311.28,311.36,1.0
312.11,1783111500,313.86,310.89,312.74,1.0
313.45,1783112400,313.5,311.37,312.1,1.0
312.47,1783113300,313.58,312.07,313.33,1.0
312.03,1783114200,313.41,311.38,312.4,1.0
313.59,1783115100,313.99,311.71,311.9,1.0
312.51,1783116000,314.48,311.28,313.62,1.0
313.43,1783116900,314.93,312.51,312.54,1.0
312.84,1783117800,314.13,311.45,313.44,1.0
310.69,1783118700,313.42,310.61,312.82,1.0
311.83,1783119600,313.38,310.73,310.73,1.0
313.09,1783120500,313.18,310.96,311.84,1.0
314.67,1783121400,314.87,312.29,313.04,1.0
316.72,1783122300,316.75,314.48,314.48,1.0
316.29,1783123200,317.47,315.92,316.75,1.0
